fact_id,uuid,indicator_id,location_id,period_id,categoryoption_id,datasource_id,measuremethod_id,numerator_value,denominator_value,value_received,value_calculated,min_value,max_value,target_value,string_value,comment
54,820d5cd2ae95bfcbb44e57ea71a26220,129,19,37,999,7,2,NULL,NULL,436.08,NULL,NULL,NULL,NULL,NULL,approved
55,16d0caa9663e1c9f5078dd24358df6d7,516,20,37,999,2,2,NULL,NULL,4.67,NULL,NULL,NULL,NULL,NULL,approved
56,c8d4b268f1a1d5d886e828b7f2a295a9,128,20,37,999,7,2,NULL,NULL,23.01,NULL,NULL,NULL,NULL,NULL,approved
57,566e0749e1802568636c18997ce5bc17,129,20,37,999,7,2,NULL,NULL,44.46,NULL,NULL,NULL,NULL,NULL,approved
58,f11cf45b929398804b1ae73ff5e41291,516,21,37,999,2,2,NULL,NULL,3.97,NULL,NULL,NULL,NULL,NULL,approved
59,eaa851d0e6cf187908bd02ea5d10b969,128,21,37,999,7,2,NULL,NULL,16.99,NULL,NULL,NULL,NULL,NULL,approved
60,8fd1186982435ab05d5e805f06898f40,129,21,37,999,7,2,NULL,NULL,115.61,NULL,NULL,NULL,NULL,NULL,approved
61,a3cde0ae45feed1d49dc8196b8acef68,516,22,37,999,2,2,NULL,NULL,3.7,NULL,NULL,NULL,NULL,NULL,approved
62,bf426fba51262d86a0389069597cc94b,128,22,37,999,7,2,NULL,NULL,16.95,NULL,NULL,NULL,NULL,NULL,approved
63,cd1a06245620a0fe281cc8c42d7f0bd1,129,22,37,999,7,2,NULL,NULL,56.14,NULL,NULL,NULL,NULL,NULL,approved
64,232bbde2140672b88fd8b4857746828b,516,23,37,999,2,2,NULL,NULL,7.1,NULL,NULL,NULL,NULL,NULL,approved
65,f449767bc7bd322eaaaf59fc9dd1e53e,128,23,37,999,7,2,NULL,NULL,20.72,NULL,NULL,NULL,NULL,NULL,approved
66,a26135a26b1a09858855bbdbec7bd0c6,129,23,37,999,7,2,NULL,NULL,75.21,NULL,NULL,NULL,NULL,NULL,approved
67,180025c6fb1a7e84cb84bd1cb02b3e40,516,24,37,999,2,2,NULL,NULL,4.73,NULL,NULL,NULL,NULL,NULL,approved
68,4e6deb8bd07241b5cee5cd499c16462c,128,24,37,999,7,2,NULL,NULL,21.26,NULL,NULL,NULL,NULL,NULL,approved
69,8c6a1b4df70050f2ca1659951788ae27,129,24,37,999,7,2,NULL,NULL,88.93,NULL,NULL,NULL,NULL,NULL,approved
70,b75074a11745e77610f312d6a6e925eb,516,25,37,999,2,2,NULL,NULL,5.86,NULL,NULL,NULL,NULL,NULL,approved
71,91819b8b249ba225428e499d8418fe27,128,25,37,999,7,2,NULL,NULL,28.54,NULL,NULL,NULL,NULL,NULL,approved
72,5785856646836a7d4296328b864f1f79,129,25,37,999,7,2,NULL,NULL,84.87,NULL,NULL,NULL,NULL,NULL,approved
73,01ca61f3c63cae01dc71bc2ca006495c,516,26,37,999,2,2,NULL,NULL,3.99,NULL,NULL,NULL,NULL,NULL,approved
74,b561169ca35a21d1ba5c92adb6596235,128,26,37,999,7,2,NULL,NULL,12.1,NULL,NULL,NULL,NULL,NULL,approved
75,42406d6717361a3ed2e911787b5ec4ea,129,26,37,999,7,2,NULL,NULL,37.08,NULL,NULL,NULL,NULL,NULL,approved
76,3b7edbc225e5c9a905a7b0a1441fca12,516,27,37,999,2,2,NULL,NULL,5.39,NULL,NULL,NULL,NULL,NULL,approved
77,8f5e011a4f68892a8709dd259c3f75c2,128,27,37,999,7,2,NULL,NULL,13.25,NULL,NULL,NULL,NULL,NULL,approved
78,4bbae379b13ebe3b3178f24be1dc0bb8,129,27,37,999,7,2,NULL,NULL,61.64,NULL,NULL,NULL,NULL,NULL,approved
79,d162b490b7c312a7a66f595825396ac0,516,28,37,999,2,2,NULL,NULL,3.35,NULL,NULL,NULL,NULL,NULL,approved
80,43db3680135907a161891b7d481ecf98,128,28,37,999,7,2,NULL,NULL,8.91,NULL,NULL,NULL,NULL,NULL,approved
81,04b1d8ae1086cd5dfcd64fbe272192bb,129,28,37,999,7,2,NULL,NULL,39.9,NULL,NULL,NULL,NULL,NULL,approved
82,106e7d0d2b66a4b366e6d8d1f8356eb5,516,29,37,999,2,2,NULL,NULL,5.1,NULL,NULL,NULL,NULL,NULL,approved
83,f638aea8a09c8e265f613b83eb987c45,128,29,37,999,7,2,NULL,NULL,13.74,NULL,NULL,NULL,NULL,NULL,approved
84,62cb00b5292af83f2df29ffaf145d45f,129,29,37,999,7,2,NULL,NULL,59.16,NULL,NULL,NULL,NULL,NULL,approved
85,97633e01262ed813487525403b709ca7,516,30,37,999,2,2,NULL,NULL,4.46,NULL,NULL,NULL,NULL,NULL,approved
86,10b8de9c55dc69c52c8acf29d6f6999a,128,30,37,999,7,2,NULL,NULL,21.31,NULL,NULL,NULL,NULL,NULL,approved
87,501c1ff1ac405b4d400ce43b645228cc,129,30,37,999,7,2,NULL,NULL,97.32,NULL,NULL,NULL,NULL,NULL,approved
